skills,count,words
ответствен,593,"ответственый, ответственное, Ответственен, ответственным, ответственая, ответственных, ОТВЕТСТВЕННЫЙ, Ответственый, ответственные, Ответственно, ответственно, ответственная, ОТВЕТСТВЕННАЯ, ответственного, Ответственна, Ответственная, ответственный, Ответственное, Ответственный, ответственна"
Word,520,Word
Excel,511,Excel
Office,498,Office
уверен,468,"Уверенный, Уверенное, уверенно, Увереный, Уверенная, уверенным, уверенных, Уверенно, уверенная, уверенное, увереное, увереный, уверенные, Уверенные"
Microsoft,340,Microsoft
грамотн,295,"грамотные, грамотный, грамотная, грамотное, Грамотное, грамотном, Грамотная, Грамотно, Грамотный, ГРАМОТНЫЙ, грамотной, грамотно, грамотна, грамотную, грамотного"
делов,294,"деловое, деловая, деловых, делового, деловую, деловым, Деловая, Деловой, деловой, деловому, деловые, Деловое"
исполнительн,266,"исполнительное, Исполнительные, Исполнительное, Исполнительная, исполнительных, ИСПОЛНИТЕЛЬНЫЙ, исполнительна, исполнительная, исполнительной, Исполнительный, Исполнительна, исполнительный, исполнительного"
аналитическ,262,"аналитическими, аналитический, аналитическое, аналитические, Аналитическое, аналитических, Аналитические, аналитическому, аналитически, Аналитический, аналитическая, аналитическим, аналитической"
опытн,258,"Опытные, Опытный, ОПЫТНЫЙ, oпытный, опытного, опытным, опытный, опытное"
самостоятельн,248,"самостоятельной, самостоятельном, Самостоятельный, самостоятельна, самостоятельных, самостоятельные, самостоятельный, самостоятельно, самостоятельному, Самостоятельное, самостоятельным, Самостоятельна, самостоятельного, самостоятельная, самостоятельное, Самостоятельно, Самостоятельная"
техническ,225,"технически, техническими, технической, технический, техническому, технических, техническим, техническую, технического, Технический, Техническое, техническое, Технические, технические, Технически, техническая, Техническая"
Internet,222,Internet
трудолюбив,222,"Трудолюбивая, трудолюбивый, трудолюбивая, трудолюбива, Трудолюбивый"
организаторск,219,"ОРГАНИЗАТОРСКИЕ, Организаторские, организаторским, организаторской, организаторские, организаторских, организаторский, организаторскими, Организаторской"
пунктуальн,218,"пунктуальнный, Пунктуальный, пунктуальна, пунктуальная, пунктуальный, Пунктуальная, ПУНКТУАЛЬНАЯ, Пунктуальна"
коммуникабельн,170,"коммуникабельная, Коммуникабельная, коммуникабельна, Коммуникабельный, коммуникабельного, КОММУНИКАБЕЛЬНЫЙ, КОММУНИКАБЕЛЬНАЯ, коммуникабельны, коммуникабельный, Коммуникабельна"
поставлен,166,"поставленных, поставленного, поставленых, поставленная, ПОСТАВЛЕНЫХ, поставленые, поставленные, поставленая, поставленой, поставленными, поставленным"
свободн,162,"Свободное, свободно, Свободная, свободное, свободных, Свободный, Свободно, свободная"
тракторист,150,тракториста
Outlook,145,Outlook
Windows,134,Windows
Adobe,134,Adobe
бухгалтерск,131,"бухгалтерского, бухгалтерском, Бухгалтерского, Бухгалтерский, бухгалтерскому, бухгалтерские, Бухгалтерская, Бухгалтерские, бухгалтерских, бухгалтерская, бухгалтерский, бухгалтерскими, бухгалтерской"
Photoshop,120,Photoshop
коммуникативн,120,"коммуникативное, коммуникативные, коммуникативными, коммуникативных, Коммуникативное, коммуникативного, Коммуникативные, коммуникативная"
компьютерн,120,"компьютерная, Компьютерные, компьютерных, компьютерного, Компьютерная, компьютерный, компьютерную, компьютерные, компьютерным, компьютерными, компьютерной"
оргтехник,113,оргтехникой
внимательн,106,"внимательна, внимательное, внимательно, внимательная, Внимательна, внимательный, Внимательный, Внимательно, Внимательное, Внимательная"
добросовестн,106,"Добросовестно, добросовестно, добросовестное, добросовестная, Добросовестное, ДОБРОСОВЕСТНЫЙ, Добросовестна, Добросовестная, Добросовестный, добросовестный, добросовестна, добросовестнный"
целеустремлен,102,"целеустремленен, целеустремлённый, целеустремленный, Целеустремленная, Целеустремленна, целеустремленый, целеустремленна, Целеустремлённая, ЦЕЛЕУСТРЕМЛЕННАЯ, Целеустремлённый, Целеустремлённа, целеустремленная, целеустремлённая, Целеустремленный"
базов,95,"базовые, Базовые, базовыми, базовая, базовым, базовых, базовый, Базовый, базовом, Базово, Базовое, базово, базового"
устн,95,"устную, Устный, устным, устная, устной, устное, устно, устный"
стрессоустойчив,94,"Стрессоустойчивый, Стрессоустойчивая, стрессоустойчива, стрессоустойчивый, стрессоустойчивая"
эффективн,93,"эффективное, эффективная, эффективно, эффективную, эффективной, Эффективное, эффективных, Эффективный, эффективному, эффективны, эффективного, эффективный, эффективные, Эффективные, Эффективно"
активн,92,"Активная, активные, активной, активная, Активно, активного, Активные, активных, активный, активное, Активный, активна, активно, Активное"
PowerPoint,91,PowerPoint
английск,90,"английском, Английский, английского, английским, английски, Английским, Английского, английский"
техник,90,"технико, техникой"
AutoCAD,88,AutoCAD
качествен,81,"качественный, Качественный, качественно, качественной, Качественное, качественное, качественое, качественную, качественного, качественные, качественных, Качественно"
готов,79,"Готова, готовая, ГОТОВА, готовых, готового, готовой, готовый, готова, готовым"
творческ,79,"творческий, творческая, творческим, творчески, творческих, творческое, Творческий, Творческое, творческого, творческие"
производствен,76,"производственным, производственно, производственные, производственными, производственных, производственный, производственной, Производственное, производственное, производственного, Производственный"
аккуратн,75,"аккуратное, Аккуратное, Аккуратный, Аккуратна, АККУРАТНАЯ, Аккуратная, аккуратно, аккуратный, аккуратная, аккуратна, аккуратного"
оперативн,72,"Оперативно, оперативной, оперативно, оперативные, оперативными, оперативная, оперативных, оперативное, оперативным, оперативный, Оперативный, Оперативное, оперативного"
водительск,72,"водительских, Водительское, водительским, Водительский, водительский, водительские, водительской, водительское, Водительские, водительского"
информацион,72,"информационной, информационного, Информационное, информационных, информационная, Информационный, информационное, информационными, информационным, информационный, информационные, информационно, Информационные, Информационная"
программн,71,"программными, программно, программного, программные, программное, Программные, программный, программным, программная, Программно, программных"
успешн,67,"успешных, успешно, успешным, успешного, успешной, Успешная, успешный, успешное, Успешный, Успешные, Успешное, успешную, успешные"
финансов,67,"финансовых, финансовым, финансовые, финансового, финансовому, финансовыми, финансово, финансовый, финансовое, Финансово, финансовая, Финансовое, финансовой, Финансовая, Финансовый"
конфликтн,66,"конфликтной, конфликтных, конфликтную, конфликтная, конфликтна, конфликтные, конфликтными, конфликтным, конфликтный"
налогов,65,"Налоговое, Налоговая, налоговая, налоговыми, Налоговую, налогового, налоговый, налоговой, налоговую, налоговые, налоговых"
способн,64,"способный, Способна, способных, способная, Способный, способна"
управленческ,59,"Управленческая, Управленческие, Управленческий, управленческий, управленческих, управленческая, управленческой, управленческие, управленческим"
легкообуча,56,"легкообучаемая, легкообучаемый, Легкообучаемый, Легкообучаемая"
дисциплинирова,53,"ДИСЦИПЛИНИРОВАННЫЙ, Дисциплинированный, Дисциплинированная, дисциплинированная, дисциплинированный"
